,0
2023-12-12,1.914
2023-12-13,1.915
2023-12-14,1.916
2023-12-15,1.916
2023-12-18,1.916
2023-12-19,1.918
2023-12-20,1.919
2023-12-21,1.919
2023-12-22,1.921
2023-12-26,1.922
2023-12-27,1.924
2023-12-28,1.925
2023-12-29,1.927
2024-01-02,1.928
2024-01-03,1.931
2024-01-04,1.933
2024-01-05,1.936
2024-01-08,1.939
2024-01-09,1.942
2024-01-10,1.945
2024-01-11,1.948
2024-01-12,1.951
2024-01-16,1.955
2024-01-17,1.958
2024-01-18,1.962
2024-01-19,1.965
2024-01-22,1.968
2024-01-23,1.971
2024-01-24,1.972
2024-01-25,1.974
2024-01-26,1.976
2024-01-29,1.978
2024-01-30,1.981
2024-01-31,1.984
2024-02-01,1.987
2024-02-02,1.99
2024-02-05,1.993
2024-02-06,1.996
2024-02-07,1.998
2024-02-08,2.002
2024-02-09,2.005
2024-02-12,2.01
2024-02-13,2.014
2024-02-14,2.017
2024-02-15,2.021
2024-02-16,2.025
2024-02-20,2.029
2024-02-21,2.033
2024-02-22,2.036
2024-02-23,2.04
2024-02-26,2.045
2024-02-27,2.048
2024-02-28,2.052
2024-02-29,2.056
2024-03-01,2.061
2024-03-04,2.067
2024-03-05,2.074
2024-03-06,2.08
2024-03-07,2.087
2024-03-08,2.095
2024-03-11,2.102
2024-03-12,2.108
2024-03-13,2.117
2024-03-14,2.126
2024-03-15,2.136
2024-03-18,2.144
2024-03-19,2.152
2024-03-20,2.161
2024-03-21,2.169
2024-03-22,2.178
2024-03-25,2.187
2024-03-26,2.196
2024-03-27,2.205
2024-03-28,2.213
2024-04-01,2.221
2024-04-02,2.228
2024-04-03,2.235
2024-04-04,2.242
2024-04-05,2.249
2024-04-08,2.257
2024-04-09,2.264
2024-04-10,2.271
2024-04-11,2.278
2024-04-12,2.284
2024-04-15,2.288
2024-04-16,2.293
2024-04-17,2.3
2024-04-18,2.307
2024-04-19,2.314
2024-04-22,2.32
2024-04-23,2.326
2024-04-24,2.333
2024-04-25,2.338
2024-04-26,2.341
2024-04-29,2.346
2024-04-30,2.349
2024-05-01,2.35
2024-05-02,2.354
2024-05-03,2.358
2024-05-06,2.358
2024-05-07,2.36
2024-05-08,2.361
2024-05-09,2.361
2024-05-10,2.362
2024-05-13,2.363
2024-05-14,2.363
2024-05-15,2.363
